date,ticker,price
2025-05-09,AAPL,100.09411697349034
2025-05-10,AAPL,98.83608726263077
2025-05-11,AAPL,99.2788665414907
2025-05-12,AAPL,99.00823748684473
2025-05-13,AAPL,98.35520282610901
2025-05-14,AAPL,99.04563181403948
2025-05-15,AAPL,99.7037490288287
2025-05-16,AAPL,99.91527172673243
2025-05-17,AAPL,100.04075998825864
2025-05-18,AAPL,97.67756503766697
2025-05-19,AAPL,98.35955354828445
2025-05-20,AAPL,97.47322794409214
2025-05-21,AAPL,95.38894538889853
2025-05-22,AAPL,94.51199484771584
2025-05-23,AAPL,94.9056915876773
2025-05-24,AAPL,94.70839662730263
2025-05-25,AAPL,95.29369670307399
2025-05-26,AAPL,94.61049696649519
2025-05-27,AAPL,93.89997985318405
2025-05-28,AAPL,95.35096170974906
